Time [ns],V(FET_in) [mV]
0.0,0.0
1123.7217664906168,1.0
2247.4435329812336,1.0
3371.16529947185,1.0
4494.887065962467,1.0
5618.608832453085,1.0
6742.3305989437,1.0
7866.052365434318,1.0
8989.774131924934,1.0
10113.495898415551,1.0
11237.21766490617,1.0
12360.939431396786,1.0
13484.6611978874,1.0
14608.38296437802,1.0
15732.104730868636,1.0
16855.826497359256,1.0
17979.54826384987,1.0
19103.270030340485,1.0
20226.991796831102,1.0
21350.71356332172,1.0
22474.43532981234,1.0
23598.15709630295,1.0
24721.878862793572,1.0
25845.60062928419,1.0
26969.3223957748,1.0
28093.04416226542,1.0
29216.76592875604,1.0
30340.487695246655,1.0
31464.20946173727,1.0
32587.931228227888,1.0
33711.65299471851,1.0
34835.37476120912,1.0
35959.09652769974,1.0
37082.81829419036,1.0
38206.54006068097,1.0
39330.26182717159,1.0
40453.983593662204,1.0
41577.705360152824,1.0
42701.42712664344,1.0
43825.14889313406,1.0
44948.87065962468,1.0
46072.59242611529,1.0
47196.3141926059,1.0
48320.03595909652,1.0
49443.757725587144,1.0
50567.47949207776,1.0
51691.20125856838,1.0
52814.92302505899,1.0
53938.6447915496,1.0
55062.36655804022,1.0
56186.08832453084,1.0
57309.81009102146,1.0
58433.53185751208,1.0
59557.25362400269,1.0
60680.97539049331,1.0
61804.69715698392,1.0
62928.41892347454,1.0
64052.14068996516,1.0
65175.862456455776,1.0
66299.5842229464,1.0
67423.30598943702,1.0
68547.02775592761,1.0
69670.74952241823,1.0
70794.47128890886,1.0
71918.19305539948,1.0
73041.9148218901,1.0
74165.63658838072,1.0
75289.35835487134,1.0
76413.08012136194,1.0
77536.80188785256,1.0
78660.52365434318,1.0
79784.2454208338,1.0
80907.96718732441,1.0
82031.68895381503,1.0
83155.41072030565,1.0
84279.13248679625,1.0
85402.85425328687,1.0
86526.5760197775,1.0
87650.29778626811,1.0
88774.01955275873,1.0
89897.74131924936,1.0
91021.46308573998,1.0
92145.18485223058,1.0
93268.90661872119,1.0
94392.6283852118,1.0
95516.35015170243,1.0
96640.07191819305,1.0
97763.79368468367,1.0
98887.51545117429,1.0
100011.2372176649,1.0
101134.95898415551,1.0
102258.68075064613,1.0
103382.40251713675,1.0
104506.12428362737,1.0
105629.84605011798,1.0
106753.5678166086,1.0
107877.2895830992,1.0
109001.01134958983,1.0
110124.73311608045,1.0
111248.45488257107,1.0
112372.17664906169,1.0
113495.8984155523,1.0
114619.62018204293,1.0
115743.34194853355,1.0
116867.06371502415,1.0
117990.78548151476,1.0
119114.50724800538,1.0
120238.229014496,1.0
121361.95078098662,1.0
122485.67254747724,1.0
123609.39431396784,1.0
124733.11608045848,1.0
125856.83784694909,1.0
126980.55961343972,1.0
128104.28137993033,1.0
129228.00314642093,1.0
130351.72491291155,1.0
131475.44667940217,1.0
132599.1684458928,1.0
133722.8902123834,1.0
134846.61197887405,1.0
135970.33374536462,1.0
137094.05551185523,1.0
138217.77727834586,1.0
139341.49904483647,1.0
140465.2208113271,1.0
141588.9425778177,1.0
142712.66434430834,1.0
143836.38611079895,1.0
144960.10787728956,1.0
146083.8296437802,1.0
147207.5514102708,1.0
148331.27317676143,1.0
149454.99494325204,1.0
150578.71670974267,1.0
151702.43847623328,1.0
152826.16024272388,1.0
153949.88200921452,1.0
155073.60377570512,1.0
156197.32554219576,1.0
157321.04730868636,1.0
158444.769075177,1.0
159568.4908416676,1.0
160692.2126081582,1.0
161815.93437464882,1.0
162939.65614113942,1.0
164063.37790763006,1.0
165187.09967412066,1.0
166310.8214406113,1.0
167434.5432071019,1.0
168558.2649735925,1.0
169681.98674008314,1.0
170805.70850657375,1.0
171929.43027306438,1.0
173053.152039555,1.0
174176.87380604562,1.0
175300.59557253623,1.0
176424.31733902683,1.0
177548.03910551747,1.0
178671.76087200808,1.0
179795.4826384987,1.0
180919.20440498932,1.0
182042.92617147995,1.0
183166.64793797056,1.0
184290.36970446116,1.0
185414.09147095177,1.0
186537.81323744237,1.0
187661.535003933,1.0
188785.2567704236,1.0
189908.97853691425,1.0
191032.70030340485,1.0
192156.42206989546,1.0
193280.1438363861,1.0
194403.8656028767,1.0
195527.58736936733,1.0
196651.30913585794,1.0
197775.03090234858,1.0
198898.75266883918,1.0
200022.4744353298,1.0
201146.19620182042,1.0
202269.91796831103,1.0
203393.63973480166,1.0
204517.36150129227,1.0
205641.0832677829,1.0
206764.8050342735,1.0
207888.5268007641,1.0
209012.24856725475,1.0
210135.97033374535,1.0
211259.69210023596,1.0
212383.41386672657,1.0
213507.1356332172,1.0
214630.8573997078,1.0
215754.5791661984,1.0
216878.30093268905,1.0
218002.02269917965,1.0
219125.7444656703,1.0
220249.4662321609,1.0
221373.18799865153,1.0
222496.90976514213,1.0
223620.63153163277,1.0
224744.35329812337,1.0
225868.07506461398,1.0
226991.7968311046,1.0
228115.51859759522,1.0
229239.24036408585,1.0
230362.96213057646,1.0
231486.6838970671,1.0
232610.4056635577,1.0
233734.1274300483,1.0
234857.8491965389,1.0
235981.57096302952,1.0
237105.29272952015,1.0
238229.01449601076,1.0
239352.7362625014,1.0
240476.458028992,1.0
241600.1797954826,1.0
242723.90156197324,1.0
243847.62332846384,1.0
244971.34509495448,1.0
246095.06686144508,1.0
247218.7886279357,1.0
248342.5103944263,1.0
249466.23216091696,1.0
250589.95392740757,1.0
251713.67569389817,1.0
252837.39746038878,1.0
253961.11922687944,1.0
255084.84099337005,1.0
256208.56275986065,1.0
257332.28452635126,1.0
258456.00629284186,1.0
259579.7280593325,1.0
260703.4498258231,1.0
261827.1715923137,1.0
262950.89335880434,1.0
264074.61512529495,1.0
265198.3368917856,1.0
266322.0586582762,1.0
267445.7804247668,1.0
268569.50219125743,1.0
269693.2239577481,1.0
