Time_ns,V(FET_in) [mV],Err_mV
0,-2.67E-07,1.27E-12
0.000198989,-2.67E-07,0.000278195
0.000397977,-2.67E-07,0.00026526
0.000795955,-2.67E-07,0.000531558
0.001495789,-2.67E-07,0.000931829
0.002425213,-2.67E-07,0.001214913
0.003630174,-2.67E-07,0.001555539
0.005327965,-2.67E-07,0.002196392
0.007434646,-3.92E-06,0.002688593
0.009541328,-0.000194838,0.00255234
0.011648009,-0.001443872,0.002400406
0.013754691,-0.00520191,0.002232655
0.016376795,-0.015308575,0.002768268
0.018998899,-0.03022337,0.002509003
0.021621004,-0.044567614,0.00222989
0.024243108,-0.05179048,0.001931443
0.026865212,-0.049115969,0.001617229
0.029487316,-0.039202701,0.001293034
0.032109421,-0.026627559,0.000961856
0.034731525,-0.012872768,0.000624153
0.037353629,0.005835847,0.000280918
0.039975733,0.035145679,-6.70E-05
0.042597838,0.077380545,-0.000417854
0.045219942,0.129260362,-0.000767707
0.047842046,0.184436745,-0.001113347
0.05046415,0.238093963,-0.001455758
0.053086255,0.288761723,-0.001797981
0.055708359,0.336349424,-0.002140621
0.058891753,0.387190021,-0.002450845
0.062075148,0.424746876,-0.002928284
0.065258542,0.44554345,-0.003379485
0.069170104,0.451500858,-0.004075649
0.073081666,0.441601905,-0.004663713
0.076993229,0.417463065,-0.005203974
0.081937323,0.370473995,-0.006629292
0.086881417,0.326402076,-0.007367831
0.091825511,0.312568884,-0.007992413
0.096769606,0.341536778,-0.008485852
0.1017137,0.411318372,-0.00883805
0.106657794,0.511974763,-0.009046513
0.112612614,0.651270184,-0.010887366
0.118567434,0.782643799,-0.010843235
0.124522254,0.879368656,-0.01056617
0.130477074,0.926773553,-0.010061847
0.136431894,0.928778363,-0.009333435
0.142386714,0.900565191,-0.008385985
0.148341534,0.858194412,-0.007235423
0.154296354,0.813810835,-0.005909117
0.160251174,0.774575034,-0.004436795
0.168015036,0.736375453,-0.004627154
0.175778898,0.71434358,-0.001826501
0.18354276,0.707854307,0.001109733
0.191306622,0.714334904,0.004087093
0.199070484,0.726548394,0.007008186
0.208506034,0.726410365,0.011238875
0.217941584,0.682786481,0.014975561
0.227377134,0.584308299,0.018150334
0.236812685,0.44887152,0.020618245
0.246248235,0.314713221,0.022263315
0.257741704,0.201544077,0.027901848
0.269235174,0.151566009,0.027567958
0.280728643,0.13524877,0.025564744
0.292222113,0.116387028,0.021971741
0.303715582,0.079260979,0.016969198
0.315209052,0.030162737,0.010831037
0.326702521,-0.016583507,0.003902871
0.338195991,-0.04936016,-0.003422663
0.34968946,-0.061141643,-0.010730865
0.36118293,-0.049315924,-0.017610396
0.372676399,-0.018607227,-0.023677373
0.386472265,0.021727203,-0.033871148
0.40026813,0.038773882,-0.038721691
0.414063995,0.019090499,-0.040808378
0.427859861,-0.028329499,-0.039968872
0.441655726,-0.0840832,-0.036263545
0.455451591,-0.137070616,-0.029978193
0.469247457,-0.192253137,-0.021596951
0.483043322,-0.263228734,-0.011757471
0.496839187,-0.358950554,-0.001195119
0.510635053,-0.475874765,0.009317416
0.524430918,-0.599611246,0.019029769
0.538226783,-0.712955736,0.027269179
0.552022649,-0.804386251,0.03348867
0.565818514,-0.871969458,0.037305355
0.579614379,-0.92075252,0.038525833
0.593410245,-0.955976094,0.037156102
0.60720611,-0.977418438,0.033394789
0.621001975,-0.97922239,0.027610579
0.637924117,-0.945851919,0.024601721
0.654846259,-0.874866999,0.012362098
0.671768401,-0.779573228,-8.69E-05
0.688690544,-0.676792979,-0.011457392
0.705612686,-0.577494719,-0.020629332
0.722534828,-0.484542087,-0.02677972
0.73945697,-0.397363984,-0.029468658
0.756379112,-0.317430577,-0.028670438
0.773301254,-0.249165713,-0.024751382
0.790223396,-0.196193815,-0.018402072
0.807145538,-0.157181446,-0.010535979
0.82406768,-0.125371434,-0.002168944
0.840989823,-0.092073468,0.00570546
0.857911965,-0.050845771,0.012230375
0.874834107,0.000956899,0.016777229
0.891756249,0.063664498,0.019004557
0.908678391,0.137460377,0.018878369
0.925600533,0.222836049,0.016653514
0.942522675,0.319118985,0.012820662
0.959444817,0.422857063,0.008027727
0.976366959,0.527828795,0.002986991
0.993289102,0.626783607,-0.001619936
1.010211244,0.713505025,-0.005227718
1.027133386,0.783769018,-0.007453475
1.044055528,0.834988723,-0.008136165
1.06097767,0.865474026,-0.007345371
1.077899812,0.874285708,-0.005359695
1.094821954,0.861793278,-0.002618948
1.111744096,0.830228043,0.000342541
1.128666238,0.783513128,0.002972202
1.145588381,0.726332031,0.004775119
1.162510523,0.663035586,0.005380099
1.179432665,0.597014026,0.004587986
1.196354807,0.530659863,0.002396711
1.213276949,0.465563659,-0.000999449
1.230199091,0.402545112,-0.005235583
1.247121233,0.341468196,-0.009822941
1.264043375,0.281120183,-0.014210374
1.280965517,0.219435976,-0.017852498
1.29788766,0.154065975,-0.020276088
1.314809802,0.083018087,-0.021136788
1.331731944,0.005089134,-0.020259573
1.348654086,-0.079992204,-0.017658556
1.365576228,-0.171582158,-0.013534294
1.385901815,-0.287765944,-0.010014963
1.406227402,-0.406497934,-0.001483485
1.426552989,-0.522046153,0.00702491
1.446878576,-0.627832302,0.014465879
1.467204163,-0.717472305,0.019960311
1.48752975,-0.785826545,0.022927909
1.507855337,-0.829627807,0.02316552
1.528180924,-0.847664004,0.020859646
1.548506511,-0.840731499,0.016536422
1.568832098,-0.811451351,0.010961634
1.589157685,-0.76387139,0.005010006
1.609483272,-0.702810202,-0.000473414
1.629808859,-0.633071136,-0.004797172
1.650134446,-0.558749613,-0.007513814
1.670460033,-0.482792642,-0.008464626
1.69078562,-0.406838406,-0.007774835
1.711111207,-0.331285284,-0.005803783
1.731436794,-0.255540388,-0.003061771
1.751762381,-0.178418524,-0.000110001
1.772087969,-0.098645599,0.002538276
1.792413556,-0.015373365,0.004498798
1.812739143,0.071412314,0.0055671
1.83306473,0.160677507,0.005732723
1.853390317,0.250345046,0.005157235
1.873715904,0.337490431,0.004122721
1.894041491,0.418679947,0.002962169
1.914367078,0.490397561,0.001985666
1.934692665,0.549498335,0.001416234
1.955018252,0.593613975,0.001346635
1.975343839,0.621437662,0.001724137
1.995669426,0.632840301,0.002364862
2.015995013,0.628809279,0.002993957
2.0363206,0.611235589,0.003303348
2.056646187,0.582595635,0.003015955
2.076971774,0.545582693,0.001944491
2.097297361,0.50274636,3.42E-05
2.117622948,0.456196821,-0.002617708
2.137948535,0.407420079,-0.00576985
2.158274122,0.357228581,-0.009069044
2.178599709,0.305844227,-0.012102667
2.198925296,0.253086168,-0.014461401
2.219250883,0.198620122,-0.015802118
2.23957647,0.142219604,-0.015900644
2.259902057,0.083990706,-0.01468614
2.280227644,0.024519791,-0.012252028
2.300553231,-0.035082324,-0.00884235
2.320878818,-0.093246799,-0.004816407
2.341204405,-0.148110183,-0.000597839
2.361529992,-0.197743891,0.003383505
2.381855579,-0.240408586,0.006747827
2.402181166,-0.274789617,0.009211452
2.422506753,-0.300174339,0.010616464
2.44283234,-0.31654258,0.010940563
2.463157927,-0.324556313,0.010287141
2.483483514,-0.32545158,0.008858623
2.503809102,-0.320851943,0.006918545
2.524134689,-0.312535068,0.004749156
2.544460276,-0.302190245,0.002611502
2.564785863,-0.291204187,0.000713929
2.58511145,-0.280506045,-0.000806945
2.605437037,-0.270491691,-0.001891211
2.625762624,-0.261033871,-0.002547481
2.646088211,-0.251570918,-0.002834611
2.666413798,-0.241254708,-0.00283784
2.686739385,-0.229130393,-0.002644444
2.707064972,-0.21431737,-0.002323597
2.727390559,-0.196163066,-0.001913974
2.747716146,-0.174347751,-0.001420852
2.768041733,-0.148928231,-0.000822538
2.78836732,-0.120319237,-8.41E-05
2.808692907,-0.089221739,0.000824775
2.829018494,-0.056515552,0.001912263
2.849344081,-0.023138116,0.003150394
2.869669668,0.01002823,0.004468373
2.889995255,0.042241754,0.005754537
2.910320842,0.072947435,0.006867152
2.930646429,0.10177978,0.007652487
2.950972016,0.12852681,0.007967247
2.971297603,0.153066833,0.007701662
2.99162319,0.175294152,0.006799352
3.011948777,0.195051232,0.005270576
3.032274364,0.2120829,0.003196558
3.052599951,0.226023415,0.000723973
3.072925538,0.236420648,-0.001949753
3.093251125,0.242794342,-0.004598272
3.113576712,0.244718881,-0.00699214
3.133902299,0.241916202,-0.008925007
3.154227886,0.234342307,-0.010236555
3.174553473,0.222251496,-0.010829177
3.19487906,0.206225803,-0.010676415
3.215204647,0.187162539,-0.009822456
3.235530235,0.16621937,-0.008373296
3.255855822,0.144722876,-0.006481303
3.276181409,0.124052053,-0.004325746
3.296506996,0.105511764,-0.002092177
3.316832583,0.090212437,4.65E-05
3.33715817,0.078970975,0.001945282
3.357483757,0.07224443,0.003496377
3.377809344,0.070102975,0.004633467
3.398134931,0.072243032,0.005330006
3.418460518,0.078035971,0.005593598
3.438786105,0.086603432,0.00545784
3.459111692,0.096907644,0.004973511
3.479437279,0.107844399,0.004200684
3.499762866,0.118327594,0.003202923
3.520088453,0.12735699,0.002044035
3.54041404,0.134064611,0.000787267
3.560739627,0.137739191,-0.000503765
3.581065214,0.137831623,-0.001763473
3.601390801,0.133946889,-0.002923191
3.621716388,0.125829197,-0.003911575
3.642041975,0.113346756,-0.004657158
3.662367562,0.096481179,-0.005093182
3.682693149,0.07532415,-0.005164257
3.703018736,0.050081283,-0.004833941
3.723344323,0.021080645,-0.004091999
3.74366991,-0.011218424,-0.002959974
3.763995497,-0.046221308,-0.00149387
3.784321084,-0.083203679,0.000216917
3.804646671,-0.121329953,0.002054728
3.824972258,-0.159685748,0.003882585
3.845297845,-0.197322789,0.005556065
3.865623432,-0.23331223,0.006936818
3.885949019,-0.266800472,0.007906136
3.906274606,-0.297060485,0.008376928
3.926600193,-0.323531678,0.008302669
3.94692578,-0.345842595,0.00768226
3.967251368,-0.363812843,0.006560272
3.987576955,-0.377433374,0.005022618
4.007902542,-0.386827203,0.003188262
4.028228129,-0.392195274,0.001198018
4.048553716,-0.393754212,-0.000798243
4.068879303,-0.391673782,-0.002654547
4.08920489,-0.386021894,-0.004240607
4.109530477,-0.376723959,-0.005451399
4.129856064,-0.363541596,-0.006213807
4.150181651,-0.346073271,-0.006490073
4.170507238,-0.323776907,-0.006278149
4.190832825,-0.296012113,-0.005609376
4.211158412,-0.262097777,-0.004544114
4.231483999,-0.221379546,-0.003166017
4.251809586,-0.173301227,-0.001575647
4.272135173,-0.117474428,0.000116053
4.29246076,-0.05374156,0.001794047
4.312786347,0.017771493,0.003345069
4.333111934,0.096615417,0.004663032
4.353437521,0.18199142,0.005654032
4.373763108,0.27273943,0.006240993
4.394088695,0.367340161,0.006367966
4.414414282,0.463930747,0.006003966
4.434739869,0.560333597,0.005146114
4.455065456,0.654098323,0.003821768
4.475391043,0.74255682,0.002089203
4.49571663,0.822891631,3.65E-05
4.516042217,0.892217415,-0.002221797
4.536367804,0.947674682,-0.004549976
