Time [ns],V(AM_SI) [mV],V(SI) [mV],Time [ns],V(AM_SI) [mV],V(SI) [mV]
0,-1.27E-12,0,0,-1.27E-12,0
0.004468337,-2.201620869,-2.201633307,1.25E-10,-2.20E+00,-2.19838882
0.008936675,-4.396747678,-4.39677764,2.5E-10,-5.444598873,-5.444626389
0.017873349,-8.687576876,-8.687619472,3.75E-10,-9.198951058,-9.198981513
0.030341938,-14.00115444,-14.00118539,5E-10,-1.33E+01,-13.30361035
0.042810527,-17.91957484,-17.91960122,6.25E-10,-16.91093256,-16.91095705
0.066806036,-19.82071069,-19.82072872,7.5E-10,-15.87878123,-15.8788082
0.090801544,-13.83798763,-13.83801517,8.75E-10,-7.12E+00,-7.116784168
0.12777876,5.587309667,5.587160381,0.000000001,5.817114984,5.816981434
0.164755975,25.4722176,25.47197804,1.125E-09,17.66315128,17.66300771
0.214429522,29.73899289,29.73885503,1.25E-09,1.13E+01,11.29816587
0.274545041,-2.87573548,-2.875646302,1.375E-09,-5.0137759,-5.013726027
0.334660561,-39.76654469,-39.76630708,1.5E-09,-15.53008624,-15.52999125
0.408587246,-28.184437,-28.1843362,1.625E-09,-3.90E+00,-3.900539548
0.482513932,31.96535279,31.96522799,1.75E-09,14.75390066,14.7539693
0.572302021,57.69223832,57.6922748,1.875E-09,14.6944649,14.6945495
0.66209011,-2.576422984,-2.576128993,0.000000002,4.74E+00,4.737719341
0.751878199,-48.21696056,-48.21683612,2.125E-09,-7.663035612,-7.663024749
0.841666288,-12.74964824,-12.74992051,2.25E-09,-9.134299482,-9.134382023
0.931454377,29.9483616,29.94807208,2.375E-09,-2.71E+00,-2.711346432
1.021242465,7.32723675,7.327227641,2.5E-09,-1.8858659,-1.88600996
1.111030554,-33.7200934,-33.720092,2.625E-09,-7.015493301,-7.015581101
1.219012875,-21.35822335,-21.35838984,2.75E-09,-8.66E+00,-8.658688111
1.326995196,16.40268646,16.40271577,2.875E-09,-2.505683003,-2.505573798
1.434977517,16.34685735,16.34724225,0.000000003,13.05892919,13.05907183
1.542959838,9.715171928,9.715427884,3.125E-09,1.69E+01,16.91724892
1.650942159,17.48732939,17.48725559,3.25E-09,5.073400429,5.073473439
1.75892448,0.431628931,0.431518994,3.375E-09,-5.729974475,-5.730070424
1.866906801,-28.94727834,-28.94739644,3.5E-09,-8.50E+00,-8.50159623
1.974889122,-17.43441577,-17.43471145,3.625E-09,-9.376525505,-9.37672075
2.082871443,10.19422733,10.19395494,3.75E-09,-9.117710464,-9.117813763
2.190853764,-0.801005155,-0.800916072,3.875E-09,-4.92E+00,-4.923703705
2.298836085,-20.04166516,-20.04136235,0.000000004,0.316657092,0.316817913
2.406818406,1.434319339,1.434551897,4.125E-09,4.804422927,4.804657448
2.514800727,29.65051101,29.65067724,4.25E-09,1.02E+01,10.24584906
2.622783048,19.05704428,19.05714622,4.375E-09,12.14406047,12.14407451
2.730765369,-5.36239008,-5.362528221,4.5E-09,4.281634392,4.281505205
2.83874769,-10.49377549,-10.49413581,4.625E-09,-6.86E+00,-6.862662379
2.969105391,-8.362551902,-8.362796536,4.75E-09,-9.446102778,-9.446283561
3.099463092,-8.398430063,-8.398431311,4.875E-09,-3.654558222,-3.654619389
3.229820793,1.053435459,1.053557758,0.000000005,-2.92E+00,-2.921754908
3.360178494,2.5546758,2.554921496,5.125E-09,-2.227438731,-2.227243562
3.490536195,-5.508312921,-5.508044881,5.25E-09,5.180050562,5.180178366
3.620893896,7.805425325,7.805435237,5.375E-09,8.40E+00,8.402995989
3.751251597,22.31426682,22.31403686,5.5E-09,4.47113655,4.471035513
3.881609298,1.136847776,1.136635788,5.625E-09,0.832848424,0.832688533
4.011966999,-20.64856997,-20.6486598,5.75E-09,-3.44E+00,-3.442603543
4.1423247,-8.021942198,-8.021842874,5.875E-09,-7.469931642,-7.469822452
4.272682401,5.70870669,5.709014891,0.000000006,-4.612296052,-4.612097545
4.403040102,-1.202649906,-1.202352215,6.125E-09,3.81E-01,0.381359396
4.533397803,-4.946334364,-4.946296099,6.25E-09,0.5522208,0.552288264
4.663755503,2.307091505,2.306928744,6.375E-09,1.94493921,1.944859457
4.794113204,8.836212784,8.836015014,6.5E-09,6.53E+00,6.525171768
